date,store_id,item_id,category,predicted_units
2025-01-01,STORE1,MED001,Diabetes,14.4
2025-01-02,STORE1,MED001,Diabetes,14.6
2025-01-03,STORE1,MED001,Diabetes,14.6
2025-01-04,STORE1,MED001,Diabetes,11.0
2025-01-05,STORE1,MED001,Diabetes,11.0
2025-01-06,STORE1,MED001,Diabetes,14.6
2025-01-07,STORE1,MED001,Diabetes,14.7
2025-01-08,STORE1,MED001,Diabetes,14.6
2025-01-09,STORE1,MED001,Diabetes,14.7
2025-01-10,STORE1,MED001,Diabetes,14.6
2025-01-11,STORE1,MED001,Diabetes,11.0
2025-01-12,STORE1,MED001,Diabetes,11.0
2025-01-13,STORE1,MED001,Diabetes,14.7
2025-01-14,STORE1,MED001,Diabetes,14.6
2025-01-15,STORE1,MED001,Diabetes,14.6
2025-01-16,STORE1,MED001,Diabetes,14.7
2025-01-17,STORE1,MED001,Diabetes,14.6
2025-01-18,STORE1,MED001,Diabetes,11.0
2025-01-19,STORE1,MED001,Diabetes,11.0
2025-01-20,STORE1,MED001,Diabetes,14.7
2025-01-21,STORE1,MED001,Diabetes,14.6
2025-01-22,STORE1,MED001,Diabetes,14.6
2025-01-23,STORE1,MED001,Diabetes,14.7
2025-01-24,STORE1,MED001,Diabetes,14.6
2025-01-25,STORE1,MED001,Diabetes,11.0
2025-01-26,STORE1,MED001,Diabetes,11.0
2025-01-27,STORE1,MED001,Diabetes,14.7
2025-01-28,STORE1,MED001,Diabetes,14.6
2025-01-29,STORE1,MED001,Diabetes,14.6
2025-01-30,STORE1,MED001,Diabetes,14.7
2025-01-01,STORE1,MED002,Cardiac,14.5
2025-01-02,STORE1,MED002,Cardiac,14.7
2025-01-03,STORE1,MED002,Cardiac,14.6
2025-01-04,STORE1,MED002,Cardiac,11.1
2025-01-05,STORE1,MED002,Cardiac,11.1
2025-01-06,STORE1,MED002,Cardiac,14.6
2025-01-07,STORE1,MED002,Cardiac,14.6
2025-01-08,STORE1,MED002,Cardiac,14.6
2025-01-09,STORE1,MED002,Cardiac,14.6
2025-01-10,STORE1,MED002,Cardiac,14.6
2025-01-11,STORE1,MED002,Cardiac,11.1
2025-01-12,STORE1,MED002,Cardiac,11.1
2025-01-13,STORE1,MED002,Cardiac,14.6
2025-01-14,STORE1,MED002,Cardiac,14.6
2025-01-15,STORE1,MED002,Cardiac,14.6
2025-01-16,STORE1,MED002,Cardiac,14.6
2025-01-17,STORE1,MED002,Cardiac,14.6
2025-01-18,STORE1,MED002,Cardiac,11.1
2025-01-19,STORE1,MED002,Cardiac,11.1
2025-01-20,STORE1,MED002,Cardiac,14.6
2025-01-21,STORE1,MED002,Cardiac,14.6
2025-01-22,STORE1,MED002,Cardiac,14.6
2025-01-23,STORE1,MED002,Cardiac,14.6
2025-01-24,STORE1,MED002,Cardiac,14.6
2025-01-25,STORE1,MED002,Cardiac,11.1
2025-01-26,STORE1,MED002,Cardiac,11.1
2025-01-27,STORE1,MED002,Cardiac,14.6
2025-01-28,STORE1,MED002,Cardiac,14.6
2025-01-29,STORE1,MED002,Cardiac,14.6
2025-01-30,STORE1,MED002,Cardiac,14.6
2025-01-01,STORE1,MED003,Vitamins,23.2
2025-01-02,STORE1,MED003,Vitamins,22.6
2025-01-03,STORE1,MED003,Vitamins,22.3
2025-01-04,STORE1,MED003,Vitamins,16.6
2025-01-05,STORE1,MED003,Vitamins,17.4
2025-01-06,STORE1,MED003,Vitamins,22.7
2025-01-07,STORE1,MED003,Vitamins,22.5
2025-01-08,STORE1,MED003,Vitamins,23.0
2025-01-09,STORE1,MED003,Vitamins,22.9
2025-01-10,STORE1,MED003,Vitamins,22.9
2025-01-11,STORE1,MED003,Vitamins,17.9
2025-01-12,STORE1,MED003,Vitamins,17.5
2025-01-13,STORE1,MED003,Vitamins,22.8
2025-01-14,STORE1,MED003,Vitamins,23.0
2025-01-15,STORE1,MED003,Vitamins,22.9
2025-01-16,STORE1,MED003,Vitamins,23.0
2025-01-17,STORE1,MED003,Vitamins,22.8
2025-01-18,STORE1,MED003,Vitamins,17.5
2025-01-19,STORE1,MED003,Vitamins,17.6
2025-01-20,STORE1,MED003,Vitamins,22.8
2025-01-21,STORE1,MED003,Vitamins,23.0
2025-01-22,STORE1,MED003,Vitamins,22.9
2025-01-23,STORE1,MED003,Vitamins,22.9
2025-01-24,STORE1,MED003,Vitamins,22.7
2025-01-25,STORE1,MED003,Vitamins,17.8
2025-01-26,STORE1,MED003,Vitamins,17.4
2025-01-27,STORE1,MED003,Vitamins,22.8
2025-01-28,STORE1,MED003,Vitamins,23.0
2025-01-29,STORE1,MED003,Vitamins,22.9
2025-01-30,STORE1,MED003,Vitamins,22.9
2025-01-01,STORE1,MED004,Cardiac,14.8
2025-01-02,STORE1,MED004,Cardiac,14.5
2025-01-03,STORE1,MED004,Cardiac,14.6
2025-01-04,STORE1,MED004,Cardiac,11.0
2025-01-05,STORE1,MED004,Cardiac,11.2
2025-01-06,STORE1,MED004,Cardiac,14.7
2025-01-07,STORE1,MED004,Cardiac,14.7
2025-01-08,STORE1,MED004,Cardiac,14.6
2025-01-09,STORE1,MED004,Cardiac,14.6
2025-01-10,STORE1,MED004,Cardiac,14.6
2025-01-11,STORE1,MED004,Cardiac,11.1
2025-01-12,STORE1,MED004,Cardiac,11.2
2025-01-13,STORE1,MED004,Cardiac,14.6
2025-01-14,STORE1,MED004,Cardiac,14.6
2025-01-15,STORE1,MED004,Cardiac,14.6
2025-01-16,STORE1,MED004,Cardiac,14.6
2025-01-17,STORE1,MED004,Cardiac,14.6
2025-01-18,STORE1,MED004,Cardiac,11.1
2025-01-19,STORE1,MED004,Cardiac,11.2
2025-01-20,STORE1,MED004,Cardiac,14.6
2025-01-21,STORE1,MED004,Cardiac,14.6
2025-01-22,STORE1,MED004,Cardiac,14.6
2025-01-23,STORE1,MED004,Cardiac,14.6
2025-01-24,STORE1,MED004,Cardiac,14.6
2025-01-25,STORE1,MED004,Cardiac,11.1
2025-01-26,STORE1,MED004,Cardiac,11.2
2025-01-27,STORE1,MED004,Cardiac,14.6
2025-01-28,STORE1,MED004,Cardiac,14.6
2025-01-29,STORE1,MED004,Cardiac,14.6
2025-01-30,STORE1,MED004,Cardiac,14.6
2025-01-01,STORE1,MED005,Cardiac,14.6
2025-01-02,STORE1,MED005,Cardiac,14.5
2025-01-03,STORE1,MED005,Cardiac,14.5
2025-01-04,STORE1,MED005,Cardiac,10.9
2025-01-05,STORE1,MED005,Cardiac,11.0
2025-01-06,STORE1,MED005,Cardiac,14.6
2025-01-07,STORE1,MED005,Cardiac,14.5
2025-01-08,STORE1,MED005,Cardiac,14.6
2025-01-09,STORE1,MED005,Cardiac,14.6
2025-01-10,STORE1,MED005,Cardiac,14.6
2025-01-11,STORE1,MED005,Cardiac,11.0
2025-01-12,STORE1,MED005,Cardiac,11.0
2025-01-13,STORE1,MED005,Cardiac,14.7
2025-01-14,STORE1,MED005,Cardiac,14.6
2025-01-15,STORE1,MED005,Cardiac,14.6
2025-01-16,STORE1,MED005,Cardiac,14.6
2025-01-17,STORE1,MED005,Cardiac,14.6
2025-01-18,STORE1,MED005,Cardiac,11.0
2025-01-19,STORE1,MED005,Cardiac,11.0
2025-01-20,STORE1,MED005,Cardiac,14.7
2025-01-21,STORE1,MED005,Cardiac,14.6
2025-01-22,STORE1,MED005,Cardiac,14.6
2025-01-23,STORE1,MED005,Cardiac,14.6
2025-01-24,STORE1,MED005,Cardiac,14.6
2025-01-25,STORE1,MED005,Cardiac,11.0
2025-01-26,STORE1,MED005,Cardiac,11.0
2025-01-27,STORE1,MED005,Cardiac,14.7
2025-01-28,STORE1,MED005,Cardiac,14.6
2025-01-29,STORE1,MED005,Cardiac,14.6
2025-01-30,STORE1,MED005,Cardiac,14.6
2025-01-01,STORE1,MED006,Painkillers,14.4
2025-01-02,STORE1,MED006,Painkillers,14.5
2025-01-03,STORE1,MED006,Painkillers,14.5
2025-01-04,STORE1,MED006,Painkillers,11.1
2025-01-05,STORE1,MED006,Painkillers,11.1
2025-01-06,STORE1,MED006,Painkillers,14.6
2025-01-07,STORE1,MED006,Painkillers,14.5
2025-01-08,STORE1,MED006,Painkillers,14.6
2025-01-09,STORE1,MED006,Painkillers,14.5
2025-01-10,STORE1,MED006,Painkillers,14.6
2025-01-11,STORE1,MED006,Painkillers,11.1
2025-01-12,STORE1,MED006,Painkillers,11.0
2025-01-13,STORE1,MED006,Painkillers,14.6
2025-01-14,STORE1,MED006,Painkillers,14.6
2025-01-15,STORE1,MED006,Painkillers,14.6
2025-01-16,STORE1,MED006,Painkillers,14.5
2025-01-17,STORE1,MED006,Painkillers,14.6
2025-01-18,STORE1,MED006,Painkillers,11.1
2025-01-19,STORE1,MED006,Painkillers,11.0
2025-01-20,STORE1,MED006,Painkillers,14.6
2025-01-21,STORE1,MED006,Painkillers,14.6
2025-01-22,STORE1,MED006,Painkillers,14.6
2025-01-23,STORE1,MED006,Painkillers,14.5
2025-01-24,STORE1,MED006,Painkillers,14.6
2025-01-25,STORE1,MED006,Painkillers,11.1
2025-01-26,STORE1,MED006,Painkillers,11.0
2025-01-27,STORE1,MED006,Painkillers,14.6
2025-01-28,STORE1,MED006,Painkillers,14.6
2025-01-29,STORE1,MED006,Painkillers,14.6
2025-01-30,STORE1,MED006,Painkillers,14.5
2025-01-01,STORE1,MED007,Vitamins,23.4
2025-01-02,STORE1,MED007,Vitamins,22.4
2025-01-03,STORE1,MED007,Vitamins,22.1
2025-01-04,STORE1,MED007,Vitamins,16.4
2025-01-05,STORE1,MED007,Vitamins,16.9
2025-01-06,STORE1,MED007,Vitamins,22.9
2025-01-07,STORE1,MED007,Vitamins,23.1
2025-01-08,STORE1,MED007,Vitamins,22.8
2025-01-09,STORE1,MED007,Vitamins,22.9
