store_id,item_id,category,predicted_monthly_demand
STORE1,MED003,Vitamins,642.0
STORE1,MED009,Vitamins,641.0
STORE1,MED008,Vitamins,640.0
STORE1,MED007,Vitamins,637.0
STORE1,MED012,Vitamins,438.0
STORE1,MED015,Painkillers,414.0
STORE1,MED018,Antacids,412.0
STORE1,MED004,Cardiac,411.0
STORE1,MED010,Cardiac,411.0
STORE1,MED013,Antacids,411.0
STORE1,MED017,Antacids,411.0
STORE1,MED001,Diabetes,410.0
STORE1,MED002,Cardiac,410.0
STORE1,MED020,Diabetes,410.0
STORE1,MED005,Cardiac,409.0
STORE1,MED006,Painkillers,409.0
STORE1,MED019,Painkillers,409.0
STORE1,MED011,Diabetes,408.0
STORE1,MED014,Cardiac,408.0
STORE1,MED016,Diabetes,408.0
STORE2,MED009,Vitamins,644.0
STORE2,MED003,Vitamins,642.0
STORE2,MED008,Vitamins,642.0
STORE2,MED007,Vitamins,640.0
STORE2,MED012,Vitamins,638.0
STORE2,MED015,Painkillers,414.0
STORE2,MED018,Antacids,412.0
STORE2,MED001,Diabetes,411.0
STORE2,MED010,Cardiac,411.0
STORE2,MED013,Antacids,411.0
STORE2,MED017,Antacids,411.0
STORE2,MED002,Cardiac,410.0
STORE2,MED004,Cardiac,410.0
STORE2,MED020,Diabetes,410.0
STORE2,MED005,Cardiac,409.0
STORE2,MED006,Painkillers,409.0
STORE2,MED019,Painkillers,409.0
STORE2,MED011,Diabetes,408.0
STORE2,MED014,Cardiac,408.0
STORE2,MED016,Diabetes,408.0
STORE3,MED003,Vitamins,643.0
STORE3,MED009,Vitamins,643.0
STORE3,MED007,Vitamins,639.0
STORE3,MED012,Vitamins,637.0
STORE3,MED008,Vitamins,630.0
STORE3,MED015,Painkillers,414.0
STORE3,MED018,Antacids,412.0
STORE3,MED013,Antacids,411.0
STORE3,MED017,Antacids,411.0
STORE3,MED001,Diabetes,410.0
STORE3,MED002,Cardiac,410.0
STORE3,MED004,Cardiac,410.0
STORE3,MED006,Painkillers,410.0
STORE3,MED010,Cardiac,410.0
STORE3,MED019,Painkillers,410.0
STORE3,MED020,Diabetes,410.0
STORE3,MED005,Cardiac,409.0
STORE3,MED011,Diabetes,408.0
STORE3,MED014,Cardiac,408.0
STORE3,MED016,Diabetes,408.0
STORE4,MED003,Vitamins,643.0
STORE4,MED009,Vitamins,643.0
STORE4,MED007,Vitamins,638.0
STORE4,MED012,Vitamins,638.0
STORE4,MED008,Vitamins,632.0
STORE4,MED015,Painkillers,414.0
STORE4,MED018,Antacids,412.0
STORE4,MED010,Cardiac,411.0
STORE4,MED013,Antacids,411.0
STORE4,MED017,Antacids,411.0
STORE4,MED001,Diabetes,410.0
STORE4,MED002,Cardiac,410.0
STORE4,MED004,Cardiac,410.0
STORE4,MED005,Cardiac,410.0
STORE4,MED020,Diabetes,410.0
STORE4,MED006,Painkillers,409.0
STORE4,MED019,Painkillers,409.0
STORE4,MED011,Diabetes,408.0
STORE4,MED014,Cardiac,408.0
STORE4,MED016,Diabetes,408.0
STORE5,MED003,Vitamins,643.0
STORE5,MED009,Vitamins,641.0
STORE5,MED008,Vitamins,639.0
STORE5,MED012,Vitamins,638.0
STORE5,MED007,Vitamins,637.0
STORE5,MED015,Painkillers,414.0
STORE5,MED018,Antacids,412.0
STORE5,MED013,Antacids,411.0
STORE5,MED017,Antacids,411.0
STORE5,MED001,Diabetes,410.0
STORE5,MED002,Cardiac,410.0
STORE5,MED004,Cardiac,410.0
STORE5,MED005,Cardiac,410.0
STORE5,MED010,Cardiac,410.0
STORE5,MED019,Painkillers,410.0
STORE5,MED020,Diabetes,410.0
STORE5,MED006,Painkillers,409.0
STORE5,MED011,Diabetes,408.0
STORE5,MED014,Cardiac,408.0
STORE5,MED016,Diabetes,408.0
