date,store_id,item_id,units_sold
2023-01-01,STORE1,MED001,10
2023-01-01,STORE1,MED002,12
2023-01-01,STORE1,MED003,21
2023-01-01,STORE1,MED004,13
2023-01-01,STORE1,MED005,5
2023-01-01,STORE1,MED006,17
2023-01-01,STORE1,MED007,16
2023-01-01,STORE1,MED008,21
2023-01-01,STORE1,MED009,15
2023-01-01,STORE1,MED010,8
2023-01-01,STORE1,MED011,8
2023-01-01,STORE1,MED012,22
2023-01-01,STORE1,MED013,10
2023-01-01,STORE1,MED014,7
2023-01-01,STORE1,MED015,14
2023-01-01,STORE1,MED016,16
2023-01-01,STORE1,MED017,13
2023-01-01,STORE1,MED018,15
2023-01-01,STORE1,MED019,12
2023-01-01,STORE1,MED020,10
2023-01-01,STORE2,MED001,10
2023-01-01,STORE2,MED002,13
2023-01-01,STORE2,MED003,13
2023-01-01,STORE2,MED004,9
2023-01-01,STORE2,MED005,14
2023-01-01,STORE2,MED006,8
2023-01-01,STORE2,MED007,18
2023-01-01,STORE2,MED008,15
2023-01-01,STORE2,MED009,15
2023-01-01,STORE2,MED010,9
2023-01-01,STORE2,MED011,9
2023-01-01,STORE2,MED012,14
2023-01-01,STORE2,MED013,13
2023-01-01,STORE2,MED014,6
2023-01-01,STORE2,MED015,16
2023-01-01,STORE2,MED016,14
2023-01-01,STORE2,MED017,6
2023-01-01,STORE2,MED018,14
2023-01-01,STORE2,MED019,16
2023-01-01,STORE2,MED020,11
2023-01-01,STORE3,MED001,11
2023-01-01,STORE3,MED002,12
2023-01-01,STORE3,MED003,21
2023-01-01,STORE3,MED004,20
2023-01-01,STORE3,MED005,16
2023-01-01,STORE3,MED006,10
2023-01-01,STORE3,MED007,29
2023-01-01,STORE3,MED008,17
2023-01-01,STORE3,MED009,17
2023-01-01,STORE3,MED010,11
2023-01-01,STORE3,MED011,9
2023-01-01,STORE3,MED012,21
2023-01-01,STORE3,MED013,13
2023-01-01,STORE3,MED014,11
2023-01-01,STORE3,MED015,11
2023-01-01,STORE3,MED016,10
2023-01-01,STORE3,MED017,11
2023-01-01,STORE3,MED018,10
2023-01-01,STORE3,MED019,1
2023-01-01,STORE3,MED020,10
2023-01-01,STORE4,MED001,12
2023-01-01,STORE4,MED002,9
2023-01-01,STORE4,MED003,13
2023-01-01,STORE4,MED004,12
2023-01-01,STORE4,MED005,12
2023-01-01,STORE4,MED006,11
2023-01-01,STORE4,MED007,16
2023-01-01,STORE4,MED008,23
2023-01-01,STORE4,MED009,22
2023-01-01,STORE4,MED010,13
2023-01-01,STORE4,MED011,6
2023-01-01,STORE4,MED012,14
2023-01-01,STORE4,MED013,11
2023-01-01,STORE4,MED014,12
2023-01-01,STORE4,MED015,5
2023-01-01,STORE4,MED016,10
2023-01-01,STORE4,MED017,11
